UF;Nome;CD;Lat;Long;Carga;Energia
MG;Santana do Riacho;3159001;-43,644675;-19,188681;425;641,3824
PI;Lagoinha do Piauí;2205540;-42,627389;-5,820191;424;751,29984
ES;Ecoporanga;3202108;-40,807693;-18,265584;423;376,4096
MG;Cataguases;3115300;-42,674057;-21,342415;422;779,1456
TO;São Félix do Tocantins;1720150;-46,678425;-10,068905;421;599,98144
SP;Marapoama;3528858;-49,13776;-21,255511;420;999,1296
SP;Juquiá;3526100;-47,652268;-24,213667;420;417,3696
SP;Areias;3503505;-44,712354;-22,673131;418;798,8416
PB;Aroeiras;2501302;-35,691822;-7,535397;417;389,5616
PB;Congo;2504702;-36,648161;-7,795464;417;368,92224
MG;Itanhandu;3133105;-44,921047;-22,320098;417;565,1168
MG;Olímpio Noronha;3145505;-45,285377;-22,090531;417;859,9584
ES;Atilio Vivacqua;3200706;-41,187172;-20,962955;415;355,3504
AM;Anori;1300102;-62,095409;-4,19868;414;344,448
SP;Rincão;3543709;-48,032031;-21,593879;414;886,55472
CE;Itaitinga;2306256;-38,549794;-3,998906;413;417,1712
SP;São José do Barreiro;3549607;-44,587253;-22,748894;412;967,1424
PE;Trindade;2615607;-40,295005;-7,727799;410;354,42944
ES;Afonso Cláudio;3200102;-41,126514;-20,089427;410;694,60736
PI;Nova Santa Rita;2207959;-42,023704;-8,119479;408;614,86336
PI;Curimatá;2203206;-44,307107;-9,940828;406;555,7056
PE;Itapetim;2607703;-37,143236;-7,397544;405;606,6816
GO;Nova Iguaçu de Goiás;5214879;-49,288255;-14,311477;404;682,62912
SP;Louveira;3527306;-46,937195;-23,084173;403;618,69696
SP;Uru;3555901;-49,296288;-21,765975;402;864,5616
BA;Anguera;2901502;-39,195468;-12,182478;400;332,8
BA;Queimadas;2925808;-39,763805;-11,05905;400;332,8
MG;Serra Azul de Minas;3166501;-43,207278;-18,390648;400;613,02464
MG;Felisburgo;3125606;-40,733127;-16,636061;400;437,4496
MT;Ponte Branca;5106703;-52,933017;-16,65986;400;332,8
SP;Santa Ernestina;3546504;-48,366819;-21,452546;400;665,8228
MG;Nacip Raydan;3144201;-42,187975;-18,480623;398;926,816
MG;Santa Bárbara;3157203;-43,475135;-20,028948;397;718,4256
MG;Piedade de Ponte Nova;3150208;-42,718067;-20,24171;397;893,6704
PE;Santa Cruz;2612455;-40,301857;-8,291051;396;708,8256
CE;Acarape;2300150;-38,662839;-4,22226;395;617,37856
MG;Couto de Magalhães de Minas;3120102;-43,439817;-18,084486;393;719,2512
TO;Palmeiras do Tocantins;1713809;-47,642551;-6,599772;392;406,58176
PB;Montadas;2509503;-35,94307;-7,090622;391;544,1088
RJ;Rio das Ostras;3304524;-41,946807;-22,454204;391;377,00288
PE;Betânia;2601805;-37,987653;-8,265292;390;547,7952
BA;Jussari;2918555;-39,498022;-15,136642;390;324,48
SP;Serra Azul;3551405;-47,549694;-21,316059;390;712,0872
SP;Cajati;3509254;-48,19503;-24,772045;389;423,90464
MG;Novorizonte;3145372;-42,397685;-16,011024;389;612,02304
SP;Caraguatatuba;3510500;-45,488083;-23,639672;388;435,73824
SE;Siriri;2807204;-37,125834;-10,575398;388;420,26944
SP;Nova Luzitânia;3533304;-50,249361;-20,868657;388;858,1992
BA;Brotas de Macaúbas;2904506;-42,46516;-12,086689;386;333,2992
CE;São Luís do Curu;2312601;-39,264892;-3,645893;384;716,76864
MG;Serra dos Aimorés;3166709;-40,264434;-17,784094;383;348,83584
CE;Itapiúna;2306504;-38,952156;-4,596419;383;777,23072
PI;Francinópolis;2204006;-42,233986;-6,423009;383;872,64832
RN;Lagoa de Pedras;2406304;-35,450835;-6,192435;380;346,3712
RJ;Cordeiro;3301504;-42,342375;-22,058816;380;439,9104
MG;Itamarati de Minas;3132602;-42,847855;-21,424045;380;781,9904
MG;Dom Silvério;3122702;-42,94623;-20,134641;379;625,2768
AL;São Miguel dos Milagres;2708709;-35,406902;-9,230815;378;322,9056
BA;Palmeiras;2923506;-41,553922;-12,552429;377;340,31424
AL;Roteiro;2707800;-35,980204;-9,868827;377;319,2704
MG;Alto Caparaó;3102050;-41,864896;-20,458425;377;754,32
MG;Volta Grande;3172103;-42,557356;-21,758022;376;470,3232
PE;Correntes;2604700;-36,338679;-9,114712;375;422,91136
PE;Primavera;2611408;-35,390935;-8,326944;375;312
MA;São Luís;2111300;-44,307128;-2,631479;375;342,272
MG;Mata Verde;3140555;-40,702343;-15,761453;374;488,1792
PI;Olho D'Água do Piauí;2207108;-42,552206;-5,857601;372;726,81152
PE;Jatobá;2608057;-38,213788;-9,207755;371;355,17248
MG;Luisburgo;3138674;-42,07446;-20,43629;371;805,9072
MG;Catas Altas;3115359;-43,407787;-20,07549;371;838,2976
PB;Teixeira;2516706;-37,240346;-7,245043;370;461,9584
CE;Carnaubal;2303402;-41,009934;-4,130246;369;409,35296
PI;Flores do Piauí;2203800;-42,860887;-7,672973;368;591,04576
BA;Capela do Alto Alegre;2906857;-39,81845;-11,685104;367;308,6144
CE;Mulungu;2309102;-38,989552;-4,306357;364;659,69344
BA;Camacan;2905602;-39,518677;-15,444373;364;302,848
PI;Rio Grande do Piauí;2209005;-43,152203;-7,771053;363;612,6336
CE;Saboeiro;2311900;-39,889301;-6,484653;363;735,5968
